peru
3/6/20
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
6
6
9
11
15
22
28
43
71
86
117
145
234
263
318
363
395
416
480
580
635
671
852
950
1065
1323
1414
1595
1746
2281
2561
2954
4342
5897
6848
